freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.189e+02,5.005e+00,3.632e+01,5.602e+02
1.6,3.143e+02,2.121e+01,6.301e+01,3.985e+02
3.1,4.316e+01,2.414e+01,4.796e+01,1.153e+02
4.7,3.714e+02,2.297e+01,4.338e+01,4.377e+02
6.3,1.228e+03,2.711e+01,4.608e+01,1.302e+03
7.8,2.017e+03,2.620e+01,4.972e+01,2.093e+03
9.4,2.879e+03,2.581e+01,5.278e+01,2.957e+03
11.0,3.877e+03,2.728e+01,5.178e+01,3.956e+03
12.6,5.154e+03,2.981e+01,6.290e+01,5.246e+03
14.1,6.047e+03,2.877e+01,8.907e+01,6.164e+03
15.7,6.222e+03,2.959e+01,9.180e+01,6.343e+03
17.3,7.035e+03,2.937e+01,7.914e+01,7.143e+03
18.8,8.884e+03,2.791e+01,1.289e+02,9.041e+03
20.4,9.599e+03,3.128e+01,1.271e+02,9.757e+03
22.0,1.063e+04,3.379e+01,8.334e+01,1.075e+04
23.5,1.305e+04,3.373e+01,6.686e+01,1.315e+04
25.1,1.576e+04,3.449e+01,7.853e+01,1.588e+04
26.7,1.778e+04,3.777e+01,9.103e+01,1.791e+04
28.2,2.021e+04,4.937e+01,7.682e+01,2.034e+04
29.8,2.343e+04,5.326e+01,6.943e+01,2.355e+04
31.4,2.733e+04,6.187e+01,7.279e+01,2.747e+04
32.9,3.151e+04,8.071e+01,9.010e+01,3.168e+04
34.5,3.695e+04,9.628e+01,1.500e+02,3.719e+04
36.1,4.371e+04,1.289e+02,4.421e+02,4.428e+04
37.7,5.302e+04,2.060e+02,1.619e+03,5.485e+04
39.2,6.274e+04,3.336e+02,4.914e+03,6.799e+04
40.8,7.176e+04,4.570e+02,1.016e+04,8.237e+04
42.4,8.179e+04,5.377e+02,1.445e+04,9.677e+04
43.9,8.851e+04,5.879e+02,2.024e+04,1.093e+05
45.5,9.552e+04,5.098e+02,2.107e+04,1.171e+05
47.1,1.101e+05,4.468e+02,1.907e+04,1.297e+05
48.6,1.164e+05,5.812e+02,2.919e+04,1.462e+05
50.2,1.132e+05,6.463e+02,3.990e+04,1.537e+05
51.8,1.239e+05,6.304e+02,4.522e+04,1.698e+05
53.3,1.556e+05,5.431e+02,4.276e+04,1.989e+05
