freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.464e+01,6.318e+00,3.295e+02,3.505e+02
1.6,2.000e+01,1.750e+01,2.007e+02,2.382e+02
3.1,1.495e+01,2.050e+01,3.429e+01,6.974e+01
4.7,1.339e+01,2.000e+01,3.826e+02,4.160e+02
6.3,1.444e+01,2.156e+01,1.336e+03,1.372e+03
7.8,3.511e+01,2.698e+01,2.458e+03,2.520e+03
9.4,3.748e+02,3.931e+01,4.116e+03,4.530e+03
11.0,8.849e+02,3.572e+01,3.501e+03,4.422e+03
12.5,9.601e+02,3.262e+01,4.087e+03,5.080e+03
14.1,9.549e+02,4.913e+01,4.605e+03,5.609e+03
15.6,4.380e+02,3.760e+01,3.243e+03,3.718e+03
17.2,1.540e+02,2.265e+01,4.119e+03,4.296e+03
18.8,7.461e+01,2.296e+01,6.062e+03,6.160e+03
20.3,3.943e+01,3.109e+01,8.413e+03,8.483e+03
21.9,2.768e+01,3.110e+01,1.093e+04,1.099e+04
23.5,2.586e+01,2.879e+01,1.390e+04,1.396e+04
25.0,2.717e+01,2.458e+01,1.749e+04,1.754e+04
26.6,2.569e+01,2.309e+01,2.106e+04,2.111e+04
28.2,2.638e+01,2.509e+01,2.556e+04,2.561e+04
29.7,2.927e+01,2.722e+01,3.121e+04,3.127e+04
31.3,3.365e+01,4.057e+01,3.850e+04,3.858e+04
32.9,3.670e+01,7.806e+01,4.764e+04,4.776e+04
34.4,5.260e+01,1.204e+02,5.909e+04,5.926e+04
36.0,1.250e+02,1.085e+02,7.346e+04,7.369e+04
37.6,3.770e+02,8.634e+01,9.763e+04,9.809e+04
39.1,1.019e+03,1.367e+02,1.186e+05,1.198e+05
40.7,1.705e+03,1.956e+02,1.242e+05,1.261e+05
42.3,2.204e+03,2.009e+02,1.318e+05,1.342e+05
43.8,2.339e+03,1.185e+02,1.219e+05,1.244e+05
45.4,1.938e+03,5.376e+01,1.122e+05,1.142e+05
46.9,1.818e+03,8.850e+01,1.515e+05,1.534e+05
48.5,1.829e+03,2.253e+02,2.173e+05,2.193e+05
50.1,1.294e+03,4.573e+02,2.906e+05,2.923e+05
51.6,8.783e+02,1.007e+03,4.284e+05,4.303e+05
53.2,4.534e+03,2.298e+03,7.158e+05,7.227e+05
54.8,1.382e+04,4.454e+03,1.198e+06,1.216e+06
56.3,2.151e+04,6.542e+03,1.427e+06,1.455e+06
57.9,1.810e+04,5.973e+03,1.105e+06,1.129e+06
59.5,6.728e+03,4.765e+03,8.033e+05,8.148e+05
61.0,2.931e+03,4.164e+03,5.383e+05,5.454e+05
62.6,7.657e+03,6.168e+03,4.275e+05,4.413e+05
64.2,1.987e+04,1.126e+04,4.512e+05,4.824e+05
65.7,2.993e+04,1.484e+04,4.170e+05,4.617e+05
67.3,3.815e+04,1.714e+04,3.432e+05,3.985e+05
68.9,3.900e+04,2.089e+04,2.942e+05,3.541e+05
70.4,4.007e+04,2.446e+04,2.377e+05,3.022e+05
72.0,4.574e+04,2.218e+04,1.392e+05,2.071e+05
73.5,4.584e+04,1.665e+04,7.265e+04,1.351e+05
75.1,3.924e+04,1.289e+04,5.074e+04,1.029e+05
76.7,3.216e+04,1.102e+04,4.187e+04,8.505e+04
78.2,2.666e+04,9.805e+03,3.494e+04,7.141e+04
79.8,2.113e+04,8.405e+03,2.850e+04,5.803e+04
81.4,1.623e+04,6.876e+03,2.300e+04,4.610e+04
82.9,1.426e+04,5.703e+03,1.846e+04,3.842e+04
84.5,1.329e+04,4.812e+03,1.649e+04,3.459e+04
86.1,1.157e+04,3.951e+03,1.592e+04,3.144e+04
87.6,9.995e+03,3.282e+03,1.584e+04,2.911e+04
89.2,9.543e+03,2.759e+03,1.586e+04,2.816e+04
90.8,9.205e+03,2.333e+03,1.625e+04,2.779e+04
92.3,7.876e+03,1.958e+03,1.707e+04,2.691e+04
93.9,6.545e+03,1.595e+03,1.816e+04,2.630e+04
95.5,5.533e+03,1.286e+03,1.924e+04,2.606e+04
97.0,4.974e+03,1.037e+03,2.017e+04,2.618e+04
98.6,4.668e+03,8.173e+02,2.028e+04,2.577e+04
100.2,4.849e+03,6.905e+02,2.010e+04,2.564e+04
101.7,6.265e+03,9.914e+02,2.222e+04,2.947e+04
