freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.088e+02,9.455e+00,1.209e+01,4.303e+02
1.6,2.460e+02,4.148e+01,2.480e+01,3.123e+02
3.1,2.849e+01,5.054e+01,2.338e+01,1.024e+02
4.7,3.722e+02,5.931e+01,2.803e+01,4.595e+02
6.2,1.326e+03,4.844e+01,1.149e+02,1.489e+03
7.8,1.695e+03,6.152e+01,2.560e+02,2.012e+03
9.3,2.311e+03,6.713e+01,1.760e+02,2.554e+03
10.9,3.822e+03,7.594e+01,3.029e+02,4.201e+03
12.4,5.142e+03,9.699e+01,8.081e+02,6.047e+03
14.0,4.232e+03,7.779e+01,5.595e+02,4.869e+03
15.5,4.768e+03,6.443e+01,1.439e+02,4.976e+03
17.1,6.120e+03,6.921e+01,5.829e+01,6.248e+03
18.6,7.645e+03,7.655e+01,3.397e+01,7.755e+03
20.2,9.678e+03,7.518e+01,2.652e+01,9.780e+03
21.7,1.184e+04,7.296e+01,2.837e+01,1.194e+04
23.3,1.422e+04,8.036e+01,2.728e+01,1.432e+04
24.8,1.657e+04,9.876e+01,2.702e+01,1.670e+04
26.4,1.944e+04,1.187e+02,2.730e+01,1.958e+04
27.9,2.295e+04,1.388e+02,3.091e+01,2.312e+04
29.5,2.750e+04,1.457e+02,3.556e+01,2.768e+04
31.1,3.334e+04,1.172e+02,3.795e+01,3.349e+04
32.6,3.900e+04,8.842e+01,3.835e+01,3.912e+04
34.2,4.484e+04,8.429e+01,4.644e+01,4.497e+04
35.7,5.242e+04,1.054e+02,7.762e+01,5.260e+04
37.3,6.286e+04,1.364e+02,1.281e+02,6.312e+04
38.8,7.169e+04,1.369e+02,1.226e+02,7.195e+04
40.4,8.132e+04,1.450e+02,7.288e+01,8.153e+04
41.9,9.716e+04,1.482e+02,7.393e+01,9.738e+04
43.5,1.133e+05,1.068e+02,2.355e+02,1.136e+05
45.0,1.271e+05,8.061e+01,3.906e+02,1.275e+05
46.6,1.408e+05,1.058e+02,3.080e+02,1.413e+05
48.1,1.437e+05,1.621e+02,5.413e+02,1.444e+05
49.7,1.507e+05,2.318e+02,1.168e+03,1.521e+05
51.2,1.829e+05,3.024e+02,2.103e+03,1.853e+05
52.8,2.334e+05,3.694e+02,3.199e+03,2.369e+05
54.3,2.894e+05,4.319e+02,4.522e+03,2.944e+05
55.9,3.508e+05,4.868e+02,6.217e+03,3.575e+05
57.5,2.565e+05,3.594e+02,6.931e+03,2.638e+05
59.0,3.647e+05,6.056e+02,1.026e+04,3.756e+05
60.6,6.606e+05,1.036e+03,7.658e+03,6.693e+05
62.1,9.477e+05,1.268e+03,2.456e+03,9.515e+05
63.7,1.216e+06,1.540e+03,4.361e+03,1.222e+06
65.2,1.551e+06,2.092e+03,1.397e+04,1.567e+06
66.8,2.112e+06,2.517e+03,3.309e+04,2.147e+06
68.3,2.194e+06,1.398e+03,3.835e+04,2.234e+06
69.9,1.907e+06,5.731e+02,3.633e+04,1.944e+06
71.4,1.467e+06,3.779e+02,3.603e+04,1.504e+06
73.0,1.057e+06,2.974e+02,3.321e+04,1.091e+06
74.5,6.795e+05,2.931e+02,2.868e+04,7.084e+05
76.1,3.646e+05,2.860e+02,2.252e+04,3.874e+05
77.6,2.462e+05,2.677e+02,1.642e+04,2.629e+05
79.2,1.826e+05,2.696e+02,1.238e+04,1.953e+05
80.7,1.416e+05,2.676e+02,9.717e+03,1.516e+05
82.3,1.286e+05,2.568e+02,7.379e+03,1.363e+05
83.8,1.360e+05,2.657e+02,5.883e+03,1.421e+05
85.4,1.469e+05,2.800e+02,5.379e+03,1.525e+05
87.0,1.580e+05,2.971e+02,5.115e+03,1.634e+05
88.5,1.728e+05,3.244e+02,4.874e+03,1.780e+05
90.1,1.784e+05,3.229e+02,4.687e+03,1.835e+05
91.6,1.638e+05,3.216e+02,4.302e+03,1.685e+05
93.2,1.588e+05,3.389e+02,4.095e+03,1.632e+05
94.7,1.485e+05,3.133e+02,3.914e+03,1.527e+05
96.3,1.326e+05,2.641e+02,3.960e+03,1.368e+05
97.8,1.157e+05,2.286e+02,3.963e+03,1.199e+05
99.4,9.386e+04,2.109e+02,3.454e+03,9.752e+04
100.9,7.034e+04,1.646e+02,2.731e+03,7.323e+04
102.5,5.197e+04,1.339e+02,1.965e+03,5.407e+04
104.0,3.459e+04,1.357e+02,1.402e+03,3.613e+04
105.6,1.847e+04,1.874e+02,1.131e+03,1.979e+04
107.1,1.337e+04,1.942e+02,1.120e+03,1.468e+04
108.7,1.577e+04,1.552e+02,9.888e+02,1.692e+04
