freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.049e+01,6.869e+00,3.857e+02,4.130e+02
1.6,2.113e+01,1.951e+01,2.298e+02,2.705e+02
3.1,1.318e+01,2.174e+01,3.440e+01,6.931e+01
4.7,2.099e+01,2.520e+01,4.733e+02,5.195e+02
6.2,1.919e+02,3.375e+01,1.783e+03,2.009e+03
7.8,3.992e+02,3.061e+01,1.674e+03,2.104e+03
9.3,2.835e+02,2.674e+01,1.897e+03,2.207e+03
10.9,5.277e+02,3.583e+01,3.558e+03,4.121e+03
12.4,1.430e+03,6.530e+01,4.750e+03,6.245e+03
14.0,1.214e+03,4.798e+01,3.571e+03,4.834e+03
15.5,5.725e+02,2.974e+01,4.039e+03,4.641e+03
17.1,3.695e+02,2.872e+01,5.680e+03,6.079e+03
18.6,1.866e+02,3.386e+01,7.678e+03,7.898e+03
20.2,1.150e+02,3.579e+01,1.008e+04,1.023e+04
21.7,6.428e+01,3.800e+01,1.255e+04,1.265e+04
23.3,4.174e+01,3.952e+01,1.538e+04,1.546e+04
24.8,5.340e+01,5.039e+01,1.904e+04,1.914e+04
26.4,7.768e+01,6.075e+01,2.286e+04,2.300e+04
28.0,1.094e+02,7.719e+01,2.706e+04,2.724e+04
29.5,1.380e+02,1.042e+02,3.257e+04,3.281e+04
31.1,1.724e+02,1.049e+02,3.972e+04,3.999e+04
32.6,1.675e+02,9.176e+01,4.764e+04,4.790e+04
34.2,1.118e+02,8.023e+01,5.732e+04,5.751e+04
35.7,6.634e+01,7.839e+01,7.038e+04,7.052e+04
37.3,1.174e+02,1.046e+02,8.796e+04,8.818e+04
38.8,3.066e+02,1.645e+02,1.046e+05,1.051e+05
40.4,5.545e+02,2.488e+02,1.238e+05,1.246e+05
41.9,8.667e+02,4.593e+02,1.395e+05,1.408e+05
43.5,9.260e+02,5.078e+02,1.386e+05,1.400e+05
45.0,7.419e+02,3.482e+02,1.343e+05,1.354e+05
46.6,5.416e+02,3.451e+02,1.557e+05,1.566e+05
48.1,2.964e+02,3.576e+02,1.961e+05,1.968e+05
49.7,1.553e+02,3.361e+02,2.481e+05,2.486e+05
51.2,3.011e+02,3.056e+02,3.738e+05,3.744e+05
52.8,1.865e+03,5.979e+02,7.461e+05,7.486e+05
54.4,7.724e+03,1.858e+03,1.449e+06,1.459e+06
55.9,1.226e+04,3.298e+03,1.906e+06,1.921e+06
57.5,8.426e+03,2.990e+03,1.524e+06,1.535e+06
59.0,4.810e+03,4.714e+03,1.111e+06,1.120e+06
60.6,8.610e+03,9.418e+03,1.027e+06,1.045e+06
62.1,1.263e+04,1.203e+04,9.345e+05,9.592e+05
63.7,1.260e+04,1.247e+04,7.982e+05,8.233e+05
65.2,2.417e+04,1.163e+04,6.059e+05,6.417e+05
66.8,6.164e+04,1.250e+04,4.745e+05,5.486e+05
68.3,6.293e+04,1.501e+04,3.952e+05,4.732e+05
69.9,5.263e+04,2.087e+04,3.641e+05,4.376e+05
71.4,6.160e+04,2.430e+04,2.789e+05,3.648e+05
73.0,7.434e+04,2.421e+04,1.752e+05,2.738e+05
74.5,7.423e+04,2.070e+04,9.838e+04,1.933e+05
76.1,6.401e+04,1.682e+04,5.565e+04,1.365e+05
77.6,5.326e+04,1.438e+04,3.732e+04,1.050e+05
79.2,4.401e+04,1.230e+04,2.962e+04,8.592e+04
80.8,3.660e+04,1.046e+04,2.499e+04,7.205e+04
82.3,3.086e+04,8.814e+03,1.903e+04,5.870e+04
83.9,2.566e+04,7.263e+03,1.478e+04,4.771e+04
85.4,2.140e+04,5.933e+03,1.315e+04,4.048e+04
87.0,1.773e+04,4.799e+03,1.293e+04,3.546e+04
88.5,1.500e+04,3.859e+03,1.350e+04,3.236e+04
90.1,1.302e+04,3.084e+03,1.479e+04,3.089e+04
91.6,1.150e+04,2.538e+03,1.650e+04,3.054e+04
93.2,1.020e+04,2.249e+03,1.791e+04,3.036e+04
94.7,9.085e+03,2.076e+03,1.900e+04,3.016e+04
96.3,8.029e+03,1.699e+03,2.076e+04,3.049e+04
97.8,7.148e+03,1.145e+03,2.337e+04,3.166e+04
